ticker,company,sector,industry,cik,entry_date,removal_date
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,1957-03-04,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0000007084,1957-03-04,
AEP,American Electric Power,Utilities,Electric Utilities,0000004904,1957-03-04,
BA,Boeing,Industrials,Aerospace & Defense,0000012927,1957-03-04,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0000014272,1957-03-04,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,0000018230,1957-03-04,
CL,Colgate-Palmolive,Consumer Staples,Household Products,0000021665,1957-03-04,
CMS,CMS Energy,Utilities,Multi-Utilities,0000811156,1957-03-04,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0001163165,1957-03-04,
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,0000016732,1957-03-04,
CSX,CSX Corporation,Industrials,Rail Transportation,0000277948,1957-03-04,
CVS,CVS Health,Health Care,Health Care Services,0000064803,1957-03-04,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,0000093410,1957-03-04,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,0000315189,1957-03-04,
DTE,DTE Energy,Utilities,Multi-Utilities,0000936340,1957-03-04,
ED,Consolidated Edison,Utilities,Multi-Utilities,0001047862,1957-03-04,
EIX,Edison International,Utilities,Electric Utilities,0000827052,1957-03-04,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0001551182,1957-03-04,
ETR,Entergy,Utilities,Electric Utilities,0000065984,1957-03-04,
EXC,Exelon,Utilities,Electric Utilities,0001109357,1957-03-04,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,0000037996,1957-03-04,
GD,General Dynamics,Industrials,Aerospace & Defense,0000040533,1957-03-04,
GE,GE Aerospace,Industrials,Aerospace & Defense,0000040545,1957-03-04,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,0000040704,1957-03-04,
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,0000045012,1957-03-04,
HIG,Hartford (The),Financials,Property & Casualty Insurance,0000874766,1957-03-04,
HON,Honeywell,Industrials,Industrial Conglomerates,0000773840,1957-03-04,
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,0000047111,1957-03-04,
IBM,IBM,Information Technology,IT Consulting & Other Services,0000051143,1957-03-04,
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,0000051434,1957-03-04,
KMB,Kimberly-Clark,Consumer Staples,Household Products,0000055785,1957-03-04,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0000021344,1957-03-04,
